Año,Trimestre,Banda ancha fija,Dial up,Total,Periodo
2022,4,11,12,23,Oct-Dic 2022
2022,3,11,12,23,Jul-Sept 2022
2022,2,11,12,23,Abr-Jun 2022
2022,1,11,13,24,Ene-Mar 2022
2021,4,10,13,23,Oct-Dic 2021
2021,3,10,10,20,Jul-Sept 2021
2021,2,10,10,20,Abr-Jun 2021
2021,1,10,10,20,Ene-Mar 2021
2020,4,10,10,20,Oct-Dic 2020
2020,3,9,10,19,Jul-Sept 2020
2020,2,9,10,19,Abr-Jun 2020
2020,1,9,10,19,Ene-Mar 2020
2019,4,9,10,19,Oct-Dic 2019
2019,3,9,22,31,Jul-Sept 2019
2019,2,9,22,31,Abr-Jun 2019
2019,1,9,22,31,Ene-Mar 2019
2018,4,8,22,30,Oct-Dic 2018
2018,3,8,27,35,Jul-Sept 2018
2018,2,8,27,35,Abr-Jun 2018
2018,1,8,27,35,Ene-Mar 2018
2017,4,8,27,35,Oct-Dic 2017
2017,3,8,28,36,Jul-Sept 2017
2017,2,7,29,36,Abr-Jun 2017
2017,1,7,29,36,Ene-Mar 2017
2016,4,7,29,36,Oct-Dic 2016
2016,3,7,29,36,Jul-Sept 2016
2016,2,7,32,39,Abr-Jun 2016
2016,1,7,33,40,Ene-Mar 2016
2015,4,7,33,40,Oct-Dic 2015
2015,3,7,33,40,Jul-Sept 2015
2015,2,7,33,40,Abr-Jun 2015
2015,1,7,38,45,Ene-Mar 2015
2014,4,7,39,46,Oct-Dic 2014
2014,3,7,36,43,Jul-Sept 2014
2014,2,6,36,42,Abr-Jun 2014
2014,1,6,36,42,Ene-Mar 2014
