Año,Trimestre,Provincia,Banda ancha fija,Dial up,indice
2022,4,Buenos Aires,5,6.0,0
2022,4,Capital Federal,2,2.0,1
2022,4,Catamarca,71,1.0,2
2022,4,Chaco,144,5.0,3
2022,4,Chubut,168,904.0,4
2022,4,Córdoba,1,68.0,5
2022,4,Corrientes,155,4.0,6
2022,4,Entre Ríos,271,22.0,7
2022,4,Formosa,62,0.0,8
2022,4,Jujuy,118,0.0,9
2022,4,La Pampa,114,171.0,10
2022,4,La Rioja,86,4.0,11
2022,4,Mendoza,291,777.0,12
2022,4,Misiones,186,0.0,13
2022,4,Neuquén,160,468.0,14
2022,4,Río Negro,162,548.0,15
2022,4,Salta,206,5.0,16
2022,4,San Juan,104,281.0,17
2022,4,San Luis,135,192.0,18
2022,4,Santa Cruz,50,198.0,19
2022,4,Santa Fe,888,110.0,20
2022,4,Santiago Del Estero,119,2.0,21
2022,4,Tierra Del Fuego,55,312.0,22
2022,4,Tucumán,263,30.0,23
2022,3,Buenos Aires,5,6.0,24
2022,3,Capital Federal,2,2.0,25
2022,3,Catamarca,70,1.0,26
2022,3,Chaco,144,5.0,27
2022,3,Chubut,165,904.0,28
2022,3,Córdoba,1,68.0,29
2022,3,Corrientes,145,4.0,30
2022,3,Entre Ríos,269,22.0,31
2022,3,Formosa,69,1.0,32
2022,3,Jujuy,119,0.0,33
2022,3,La Pampa,116,171.0,34
2022,3,La Rioja,87,4.0,35
2022,3,Mendoza,289,777.0,36
2022,3,Misiones,182,0.0,37
2022,3,Neuquén,163,468.0,38
2022,3,Río Negro,160,548.0,39
2022,3,Salta,205,5.0,40
2022,3,San Juan,103,281.0,41
2022,3,San Luis,122,182.0,42
2022,3,Santa Cruz,49,198.0,43
2022,3,Santa Fe,888,110.0,44
2022,3,Santiago Del Estero,119,2.0,45
2022,3,Tierra Del Fuego,54,312.0,46
2022,3,Tucumán,263,30.0,47
2022,2,Buenos Aires,5,6.0,48
2022,2,Capital Federal,2,2.0,49
2022,2,Catamarca,67,1.0,50
2022,2,Chaco,144,5.0,51
2022,2,Chubut,162,904.0,52
2022,2,Córdoba,1,68.0,53
2022,2,Corrientes,145,4.0,54
2022,2,Entre Ríos,269,22.0,55
2022,2,Formosa,68,0.0,56
2022,2,Jujuy,115,0.0,57
2022,2,La Pampa,111,171.0,58
2022,2,La Rioja,86,4.0,59
2022,2,Mendoza,279,777.0,60
2022,2,Misiones,179,0.0,61
2022,2,Neuquén,162,468.0,62
2022,2,Río Negro,159,548.0,63
2022,2,Salta,203,5.0,64
2022,2,San Juan,100,281.0,65
2022,2,San Luis,122,182.0,66
2022,2,Santa Cruz,49,198.0,67
2022,2,Santa Fe,879,110.0,68
2022,2,Santiago Del Estero,118,2.0,69
2022,2,Tierra Del Fuego,53,312.0,70
2022,2,Tucumán,254,30.0,71
