Año,Trimestre,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Periodo,Total_tecnologia
2022,4,1,6,3,573,222,Oct-Dic 2022,805
2022,3,1,6,3,557,235,Jul-Sept 2022,802
2022,2,1,6,3,556,232,Abr-Jun 2022,798
2022,1,2,6,2,546,252,Ene-Mar 2022,808
2021,4,2,6,2,523,253,Oct-Dic 2021,786
2021,3,2,6,2,492,250,Jul-Sept 2021,752
2021,2,2,6,1,477,254,Abr-Jun 2021,740
2021,1,2,5,1,435,250,Ene-Mar 2021,693
2020,4,2,5,1,422,253,Oct-Dic 2020,683
2020,3,2,5,1,413,249,Jul-Sept 2020,670
2020,2,2,5,1,377,247,Abr-Jun 2020,632
2020,1,2,5,1,352,209,Ene-Mar 2020,569
2019,4,2,5,941,340,213,Oct-Dic 2019,1501
2019,3,3,5,852,338,264,Jul-Sept 2019,1462
2019,2,3,5,761,308,265,Abr-Jun 2019,1342
2019,1,3,4,637,276,166,Ene-Mar 2019,1086
2018,4,3,4,388,264,178,Oct-Dic 2018,837
2018,3,4,4,247,246,94,Jul-Sept 2018,595
2018,2,4,4,226,194,95,Abr-Jun 2018,523
2018,1,4,4,217,165,99,Ene-Mar 2018,489
2017,4,4,4,211,156,101,Oct-Dic 2017,476
2017,3,4,4,194,106,132,Jul-Sept 2017,440
2017,2,4,3,181,86,56,Abr-Jun 2017,330
2017,1,4,3,180,85,56,Ene-Mar 2017,328
2016,4,4,3,178,85,55,Oct-Dic 2016,325
2016,3,4,3,170,81,54,Jul-Sept 2016,312
2016,2,4,3,168,85,59,Abr-Jun 2016,319
2016,1,4,3,164,85,59,Ene-Mar 2016,315
2015,4,4,3,139,86,59,Oct-Dic 2015,291
2015,3,4,3,163,85,59,Jul-Sept 2015,314
2015,2,4,3,151,82,59,Abr-Jun 2015,299
2015,1,4,3,168,79,66,Ene-Mar 2015,320
2014,4,4,3,150,77,72,Oct-Dic 2014,306
2014,3,4,3,155,85,70,Jul-Sept 2014,317
2014,2,4,2,149,72,72,Abr-Jun 2014,299
2014,1,4,2,150,71,73,Ene-Mar 2014,300
