Año,Trimestre,Más de 30 Mbps,OTROS,Total,Periodo,hasta 1 Mbps,1 Mbps - 10 Mbps,10 Mbps - 30 Mbps
2022,4,7410902,394282,11208114,Oct-Dic 2022,117649,2184693,1100588
2022,3,6995750,349035,11091128,Jul-Sept 2022,129740,2313276,1303327
2022,2,6741922,351594,10958684,Abr-Jun 2022,133165,2390120,1341883
2022,1,6336187,198333,10624009,Ene-Mar 2022,13973,2472421,1477338
2021,4,6032322,194251,10489794,Oct-Dic 2021,69783,2658541,1534897
2021,3,4948174,163269,10085541,Jul-Sept 2021,81611,3646001,1246486
2021,2,4661291,167369,9863084,Abr-Jun 2021,82196,3611550,1340678
2021,1,4379965,186797,9647972,Ene-Mar 2021,81161,3666199,1333850
2020,4,4239237,185102,9571562,Oct-Dic 2020,46136,3696513,1369015
2020,3,4053461,201777,9356199,Jul-Sept 2020,85043,3678001,1337917
2020,2,3711499,194008,9031056,Abr-Jun 2020,45907,3704609,1331212
2020,1,3500882,194212,8812426,Ene-Mar 2020,9872,3671833,1346779
2019,4,2830746,201046,8793181,Oct-Dic 2019,41170,3838435,1855702
2019,3,2314898,243467,9164684,Jul-Sept 2019,322312,4335996,1948011
2019,2,1677830,247983,8960181,Abr-Jun 2019,29877,4315600,2419998
2019,1,1138728,12657,8648135,Ene-Mar 2019,362279,4311595,2708963
2018,4,599579,152388,8473655,Oct-Dic 2018,215070,4220370,3161382
2018,3,524777,156475,8347035,Jul-Sept 2018,226264,4260690,3178829
2018,2,444391,238455,8110444,Abr-Jun 2018,225439,4296284,2905875
2018,1,397977,236584,8037053,Ene-Mar 2018,222715,4249680,2930097
2017,4,337559,155145,7870222,Oct-Dic 2017,236515,4778704,2362299
2017,3,245790,0,7553629,Jul-Sept 2017,237019,5125036,1945784
2017,2,98635,0,7323717,Abr-Jun 2017,245132,5406346,1573604
2017,1,47990,0,7199018,Ene-Mar 2017,250812,5559561,1340655
2016,4,38590,0,7144696,Oct-Dic 2016,254122,5644433,1207551
2016,3,31022,0,7141925,Jul-Sept 2016,314517,5752614,1043772
2016,2,29020,0,7172464,Abr-Jun 2016,428229,5855479,859736
2016,1,23380,0,6835285,Ene-Mar 2016,70909,5707357,669310
2015,4,22170,0,6916766,Oct-Dic 2015,461637,5776380,656579
2015,3,20677,0,6852988,Jul-Sept 2015,459280,5788989,552515
2015,2,18529,0,6786105,Abr-Jun 2015,540898,5783871,442807
2015,1,16347,0,6623212,Ene-Mar 2015,558077,5693043,355745
2014,4,15229,0,6475485,Oct-Dic 2014,598824,5580807,280625
2014,3,12424,0,6367671,Jul-Sept 2014,611761,5526809,182990
2014,2,12259,0,6348745,Abr-Jun 2014,697472,5491263,147751
2014,1,11595,0,6272846,Ene-Mar 2014,740303,5419476,101472
